# episodes,genre,network,rating,s_rating,title,cast
133,"['10g', '17g', '1044g', '1032g']",KBS,9.05,PG-13,Immortal Songs,
12,"['9g', '23g', '1045g', '1038g', '12g']",,9.27,PG-13,Nightmare Teacher,
32,"['9g', '23g', '7g', '18g']",SBS,8.78,PG-13,Judge vs. Judge,
28,"['1037g', '18g', '23g', '9g']",SBS,9.32,PG-13,"Saimdang, Light's Diary",
50,"['9g', '23g', '1040g', '1037g', '3g']",MBC,9.11,PG-13,King’s Doctor,
56,"['18g', '23g', '9g']",MBC,9.18,PG-13,East of Eden,
8,"['23g', '18g', '19g', '9g', '1045g']",MBC every 1,9.24,PG-13,Imaginary Cat,
41,"['25g', '1037g', '23g']",KBS,8.74,PG-13,The Merchant: Gaekju 2015,
16,"['23g', '9g', '19g', '1g']",KBS,9.42,PG-13,Moorim School,
68,"['23g', '18g', '9g', '1046g', '24g']",SBS,9.02,PG-13,Sister Is Alive,
11,"['1044g', '1053g', '1042g']",tvN,9.74,PG-13,Youn's Kitchen 2,
18,"['23g', '26g', '7g', '9g']",OCN,9.5,NC-17,Voice,
16,"['9g', '23g', '18g', '6g']",JTBC,9.26,PG-13,Fantastic,
57,"['18g', '9g', '23g']",MBC,8.59,PG-13,Hooray for Love,
40,"['9g', '23g', '1041g', '24g']",MBC,9.06,PG-13,Goodbye to Goodbye,
18,"['1045g', '7g', '6g']",,9.04,PG-13,Rebel Detectives 2,
16,"['23g', '18g', '9g']",MBC,8.91,PG-13,"I Do, I Do",
128,"['6g', '10g', '17g', '1044g']",MBC,6.27,PG-13,Radio Star,
12,"['9g', '23g', '19g', '7g', '26g']",OCN,8.98,PG-13,Vampire Detective,
12,"['1044g', '1042g']",tvN,9.78,PG-13,Three Meals a Day: Seaside Ranch,
16,"['7g', '9g', '1038g', '23g']",OCN,9.52,PG-13,Squad 38,
12,"['1045g', '23g', '9g', '19g']",,8.08,PG-13,The Miracle,
15,"['18g', '23g', '9g']",MBC,8.99,PG-13,"Me Too, Flower!",
