title,url,container,rating,# ratings
My Fair Lady,https://www.viki.com/tv/336c-my-fair-lady,336c,8.88,528
Feast of the Gods,https://www.viki.com/tv/6438c-feast-of-the-gods,6438c,8.56,153
Return,https://www.viki.com/tv/35750c-return,35750c,8.7,628
On the Way to the Airport,https://www.viki.com/tv/31963c-on-the-way-to-the-airport,31963c,9.42,1202
Rooftop Prince,https://www.viki.com/tv/6784c-rooftop-prince,6784c,9.4,2736
Entertainer,https://www.viki.com/tv/31039c-entertainer,31039c,9.18,2269
Surplus Princess,https://www.viki.com/tv/22542c-surplus-princess,22542c,8.62,1271
Gunman In Joseon,https://www.viki.com/tv/22743c-gunman-in-joseon,22743c,9.19,385
Page Turner,https://www.viki.com/tv/28056c-page-turner,28056c,9.59,3033
Kimcheed Radish,https://www.viki.com/tv/804c-kimcheed-radish,804c,9.01,138
The Master Key,https://www.viki.com/tv/35655c-the-master-key,35655c,9.06,235
Secret Love Affair,https://www.viki.com/tv/23235c-secret-love-affair,23235c,9.19,734
Cheer Up!,https://www.viki.com/tv/28848c-cheer-up,28848c,9.58,9127
Reply 1994,https://www.viki.com/tv/11397c-reply-1994,11397c,9.03,528
Thank You,https://www.viki.com/tv/23991c-thank-you,23991c,9.48,557
The Unit,https://www.viki.com/tv/35656c-the-unit,35656c,9.28,471
Triangle,https://www.viki.com/tv/22789c-triangle,22789c,9.38,471
Bubblegum,https://www.viki.com/tv/28600c-bubblegum,28600c,8.76,387
Newlywed Diary S1,https://www.viki.com/tv/35877c-newlywed-diary-s1,35877c,9.54,610
Gye Baek,https://www.viki.com/tv/29554c-gye-baek,29554c,9.17,99
BTS Comeback Show,https://www.viki.com/tv/35595c-bts-comeback-show,35595c,9.76,4299
Queen of Mystery,https://www.viki.com/tv/34253c-queen-of-mystery,34253c,9.44,926
The Thorn Birds,https://www.viki.com/tv/2837c-the-thorn-birds,2837c,8.82,146
I am Your Teacher,https://www.viki.com/tv/29076c-i-am-your-teacher,29076c,7.51,454
Immortal Songs,https://www.viki.com/tv/32509c-immortal-songs,32509c,9.05,44
Nightmare Teacher,https://www.viki.com/tv/29226c-nightmare-teacher,29226c,9.27,1886
Judge vs. Judge,https://www.viki.com/tv/35700c-judge-vs-judge,35700c,8.78,900
"Saimdang, Light's Diary",https://www.viki.com/tv/25434c-saimdang-lights-diary,25434c,9.31,623
King’s Doctor,https://www.viki.com/tv/35572c-kings-doctor,35572c,9.12,104
East of Eden,https://www.viki.com/tv/21c-east-of-eden,21c,9.15,196
Imaginary Cat,https://www.viki.com/tv/29392c-imaginary-cat,29392c,9.24,1565
The Merchant: Gaekju 2015,https://www.viki.com/tv/28166c-the-merchant-gaekju-2015,28166c,8.77,244
Moorim School,https://www.viki.com/tv/27773c-moorim-school,27773c,9.41,8779
Sister Is Alive,https://www.viki.com/tv/35048c-sister-is-alive,35048c,9.02,650
Youn's Kitchen 2,https://www.viki.com/tv/35872c-youns-kitchen-2,35872c,9.73,594
Voice,https://www.viki.com/tv/33162c-voice,33162c,9.5,912
Fantastic,https://www.viki.com/tv/32715c-fantastic,32715c,9.26,721
Hooray for Love,https://www.viki.com/tv/3846c-hooray-for-love,3846c,8.59,111
Goodbye to Goodbye,https://www.viki.com/tv/35864c-goodbye-to-goodbye,35864c,9.03,195
Rebel Detectives 2,https://www.viki.com/tv/36321c-rebel-detectives-2,36321c,9.03,151
"I Do, I Do",https://www.viki.com/tv/6625c-i-do-i-do,6625c,8.89,567
Radio Star,https://www.viki.com/tv/32470c-radio-star,32470c,6.26,69
Vampire Detective,https://www.viki.com/tv/29192c-vampire-detective,29192c,8.96,881
Three Meals a Day: Seaside Ranch,https://www.viki.com/tv/35876c-three-meals-a-day-seaside-ranch,35876c,9.79,303
Squad 38,https://www.viki.com/tv/30632c-squad-38,30632c,9.51,646
The Miracle,https://www.viki.com/tv/32739c-the-miracle,32739c,8.1,1131
"Me Too, Flower!",https://www.viki.com/tv/5753c-me-too-flower,5753c,8.99,711
"Jung Yi, the Goddess of Fire",https://www.viki.com/tv/9343c-jung-yi-the-goddess-of-fire,9343c,8.85,331
The Man in the Mask,https://www.viki.com/tv/26913c-the-man-in-the-mask,26913c,8.27,197
Scandal: A Shocking and Wrongful...,https://www.viki.com/tv/20171c-scandal-a-shocking-and-wrongful-incident,20171c,9.55,146
The King’s Face,https://www.viki.com/tv/24782c-the-kings-face,24782c,9.05,270
Oh My Geum Bi,https://www.viki.com/tv/33373c-oh-my-geum-bi,33373c,9.63,521
Gloria,https://www.viki.com/tv/1426c-gloria,1426c,9.14,49
Dancing High,https://www.viki.com/tv/36216c-dancing-high,36216c,9.43,232
Bad Guys,https://www.viki.com/tv/23423c-bad-guys,23423c,9.69,1445
Panda and Hedgehog,https://www.viki.com/tv/7776c-panda-and-hedgehog,7776c,8.75,1220
Memory,https://www.viki.com/tv/29639c-memory,29639c,9.74,219
Hwangjini,https://www.viki.com/tv/35527c-hwangjini,35527c,8.96,112
The Gang Doctor,https://www.viki.com/tv/27693c-the-gang-doctor,27693c,9.11,1534
Secret Agent Miss Oh,https://www.viki.com/tv/1258c-secret-agent-miss-oh,1258c,8.99,196
Assorted Gems,https://www.viki.com/tv/559c-assorted-gems,559c,8.98,46
Twinkle Twinkle,https://www.viki.com/tv/29552c-twinkle-twinkle,29552c,8.91,57
Giant,https://www.viki.com/tv/1274c-giant,1274c,9.48,188
Kim Soo Ro,https://www.viki.com/tv/1116c-kim-soo-ro,1116c,9.33,97
Man Who Sets the Table,https://www.viki.com/tv/35589c-man-who-sets-the-table,35589c,7.65,355
Ghost,https://www.viki.com/tv/8112c-ghost,8112c,9.28,803
Secret Mother,https://www.viki.com/tv/35869c-secret-mother,35869c,9.2,366
Hot and Sweet,https://www.viki.com/tv/35563c-hot-and-sweet,35563c,8.64,1040
